order,id,count,hate_speech,offensive_language,neither,class,labels,tweet_hashed
801,4251,3,0,1,2,2,0-1-2,"@###### Hello dare momma. I show glad dat u follow me. U lbe screamin hot in dem pitchers. 
You eva b wit colored men?"
802,1265,3,0,3,0,1,0-3-0,"&#8220;@###### Dej loaf ever bitch wc today, all it takes is a lil juice and these bitches want you&#8221;"
803,13693,3,0,3,0,1,0-3-0,Niggaz irrational these days...Quick to jump bad bout a bitch...
804,10536,3,2,1,0,0,2/1/2000,I dont even say nigga i say nigger. Im like Chuck Norris. I say the nigger word without checking over my shoulder.
805,15115,3,0,1,2,2,0-1-2,RT @###### Rihanna really is trash
806,24374,3,0,0,3,2,0-0-3,"graham crackers with marshmallows, the little marshmallows and little chocolate bars and we can make s'mores, man."
807,20220,3,0,1,2,2,0-1-2,RT @###### If your girl didn't camp out overnight to buy you the iPhone 6 your pee pee is trash...
808,22225,3,1,2,0,1,1/2/2000,These hoe niggas havnt seen half of me. #2chainz
809,2808,3,0,3,0,1,0-3-0,@###### sockin bitches in they mouf
810,11427,3,1,2,0,1,1/2/2000,I wouldn't want my girl showing her goodies to every niggah &#128530;&#9995;
811,9316,3,2,1,0,0,2/1/2000,Fat fucking funky nasty ass hoes
812,21166,3,0,2,1,1,0-2-1,She bitch goddess thinks she owns New York????? .........wait...... @###### #LameApocalypses
813,20362,3,0,2,1,1,0-2-1,RT @###### pussy
814,12640,3,0,2,1,1,0-2-1,"Lean wit it, Rock wit it az niccas. Lol"
815,9390,3,0,1,2,2,0-1-2,Flights from Liberia should just be rerouted to Ferguson.. 2 birds 1 stone.
816,12860,3,0,3,0,1,0-3-0,Lmfao all bitches is hoes then
817,20428,3,0,0,3,2,0-0-3,RT @###### It's settled. The Ding Dong is far superior than the Twinkie.
818,7035,3,1,2,0,1,1/2/2000,@###### And you a funny ofay! My mammy woulda been happy I made friends wit da folk dat brought us to da new world in chains
819,22710,3,0,3,0,1,0-3-0,Too many pretty bitches got the sore throat voice.Mostly red bones. #TurnOff
820,19061,3,0,3,0,1,0-3-0,RT @###### Its unexplainable how booty and fucking ass these bitches be. They live to be funny.
821,12,3,0,2,1,1,0-2-1,""" So hoes that smoke are losers ? "" yea ... go on IG"
822,6039,3,0,1,2,2,0-1-2,"@###### Nope, never taken neighbors actual stuff. Just wifi. Acct info in their trash cans at 3am. Super easy."
823,5236,3,0,3,0,1,0-3-0,@###### @###### ie don't make a hoe a housewife
824,21424,3,2,1,0,0,2/1/2000,So niggers really believe Phelps just smokin on a regular huh? Tell me now &amp; I'll log off for the night
825,18341,3,0,3,0,1,0-3-0,RT @###### There's only ONE bae at the end of the day. &#128584;&#128175;&#128149;&#128571; Cause she ride for me unlike you other bitches.
826,17525,3,2,1,0,0,2/1/2000,RT @###### Ur fucking white trash
827,431,3,1,2,0,1,1/2/2000,"""Batter the wee cunt Jewis"" y cos he fucked my ex? Emma isnt battering the girls I've nailed?Ive moved on,stop being a pussy n do it urself."
828,2938,3,2,0,1,0,2-0-1,"@###### true! I miss yall man, yall are my brothers. Is mikey starting? And what about the chink? Lmfao"
829,17282,3,0,3,0,1,0-3-0,"RT @###### It goes from ""baby"" to ""hoe"", "" I love you"" to "" Fuck you I hate you"", "" I need you"" to "" Fuck off"" from "" You're my eve&#8230;"
830,2687,3,2,1,0,0,2/1/2000,@###### lmfao go to bed whitey &#128129;
831,16239,3,0,2,1,1,0-2-1,"RT @###### Been trash ""@###### The gay Chris bosh jokes are getting old now"""""
832,22104,3,0,0,3,2,0-0-3,Their gotta be a loaded lux vs Murda mook 3
833,6698,3,2,1,0,0,2/1/2000,@###### @###### @###### at least im not black bitch your parents left you in the mcdonalds parking lot after you were born
834,12374,3,1,0,2,2,1-0-2,Jihadis circulating a video of the killing by Boko Haram of a Nigerian pilot captured after his helicopter was shoot down
835,6415,3,2,1,0,0,2/1/2000,"@###### @###### @###### all racist nTx trash w @###### all hate to see this particular man in WH n not the ""Butler"""
836,8685,3,0,0,3,2,0-0-3,Cheeky thoughts as the rooster crows.
837,7689,3,0,3,0,1,0-3-0,A1 bricks in this bitch we in Gucci house
838,15668,3,2,1,0,0,2/1/2000,RT @###### I'm a Get Money nigga So da hoes Love me
839,24307,3,0,1,2,2,0-1-2,f u tumblr bc my blog is black &amp; white but there's so many great colored things I could reblog fml
840,20703,3,0,1,2,2,0-1-2,RT @###### How much coke did Charlie sheen do?.. Enough to kill two and a half men I guess
841,15807,3,0,0,3,2,0-0-3,"RT @###### On this #ArmisticeDay the cry ""Never Again"" is absent and mocks our pledge to #NeverForget the fallen from ancient an&#8230;"
842,6980,3,0,1,2,2,0-1-2,@###### I don't like it peaceful that's boring I like fighting I come from the ghetto do u remember that it's p impossible for me not to
843,11881,3,1,2,0,1,1/2/2000,If them niggas pussy we douche em we clean em out
844,3294,3,2,1,0,0,2/1/2000,"@###### ""leave you beaner retard"""
845,23647,3,0,3,0,1,0-3-0,"Yes, I'm a hairy white man with redneck tendencies who absolutely loves Aretha Franklin. Fuck you hater."
846,13225,3,2,0,1,0,2-0-1,Most niccas broke but always n the limelight
847,16873,3,0,1,2,2,0-1-2,RT @###### Word. And it don't make u a hoe RT @###### It's okay to have sex on first date long as the feeling is mutual
848,12946,3,0,3,0,1,0-3-0,Long hair = pussy any time you want it
849,12010,3,1,2,0,1,1/2/2000,"Im a different nigga...if the pussy good im not tryna fuck for no 20mins..im stopping, backing out it, anything i ca think of to last longer"
850,2233,3,0,0,3,2,0-0-3,.@###### @###### @###### Try visiting @###### at night for a real spook!
851,5267,3,0,2,1,1,0-2-1,@###### id chink you if you left me with blue balls
852,9346,3,0,2,1,1,0-2-1,"Fight night tonight, go Cotto. Smack that pompous cunt down in front of millions. #MayweatherCotto"
853,5280,3,2,1,0,0,2/1/2000,"@###### @###### So you support ""illegals"" coming here and spreading disease among Americans Dream that bitch!"
854,24249,3,1,0,2,2,1-0-2,diet coke trash
855,16661,3,1,2,0,1,1/2/2000,RT @###### Gay girls really do get more pussy than niggas &#128514;&#128069;&#127946;&#128175;
856,14621,3,1,2,0,1,1/2/2000,"RT @###### I want a real relationship &#9994;&#128272; no games, no lies, no side hoes, just me and you &#128152;&#128141;"
857,1390,3,0,0,3,2,0-0-3,"&#8220;@###### If Howard elbow bosh, will bosh fight back?&#8221; don't have to got mcbob bird and UD"
858,4572,3,3,0,0,0,3-0-0,"@###### fuck your mother, faggot"
859,2050,3,0,0,3,2,0-0-3,&lt;&lt;&lt;when it's yellow outside
860,15545,3,0,2,1,1,0-2-1,RT @###### &#8220;@###### Pau a hoe. How u gon play after the trade deadline&#8221; I dislike that guy. Yea he helped bring two chips but he soft A&#8230;
861,20513,3,2,1,0,0,2/1/2000,RT @###### Rt *nigga *bitch *him &#8220;@###### ' I will never date a female with another niggah name on her lol . Wtf .&#8221;
862,15179,3,1,2,0,1,1/2/2000,"RT @###### Being so wrapped up in love that you stop doing well for YOU is what middle schoolers do, dumb bitch. I want just want mo&#8230;"
863,553,3,1,2,0,1,1/2/2000,"""Roberto you are one nasty hoe"""
864,16369,3,0,2,1,1,0-2-1,"RT @###### Lol robbing ain't the word ""@###### Damn you was robbing them bitches @######"
865,23859,3,1,2,0,1,1/2/2000,"You little stupid ass bitch, i aint fuckin with you!!!!!"
866,23816,3,0,2,1,1,0-2-1,You hoes are in for a pleasant surprise &#128540;&#128527;
867,15709,3,0,0,3,2,0-0-3,RT @###### trassshhh RT @###### Them 13's that come out this weekend so trash!
868,24811,3,3,0,0,0,3-0-0,oh well. he's a fag anyways.
869,16990,3,1,2,0,1,1/2/2000,RT @###### Fuck that cock sucker hulk hogan put him in camel clutch fuck his ass make him humble #bitch
870,16089,3,0,2,1,1,0-2-1,RT @###### @###### is lupe fiascos retarded illegitimate son
871,12774,3,0,3,0,1,0-3-0,"Listen to her ""@###### She curving you on the low ""@###### What it mean if a girl thinks u have the hoes but u don't???"""
872,23891,3,0,0,3,2,0-0-3,You said you be smoking strong but your wrong you been smoking trash it's not in my lungs if it ain't that pressure.
873,23276,3,1,2,0,1,1/2/2000,White bitches be lovin da colored men
874,19622,3,0,1,2,2,0-1-2,"RT @###### Should've lost in Carolina, in Houston &amp; tonight in St. Louis! #Lucky
#Seahawks are complete trash!!"
875,8798,3,0,1,2,2,0-1-2,Currently being hit with the jig. Word.
876,19681,3,1,2,0,1,1/2/2000,RT @###### i never had a nigga taken from me &#128564;&#128514; . in order to take him from me he must not return &#128526;&#128520;&#128541; . keep that in mind bitch &#128129;
877,9384,3,0,0,3,2,0-0-3,Flappy bird instead of studying? Sounds great.&#128527; &#128555;#flappybirdisruiningmylife
878,17776,3,1,2,0,1,1/2/2000,"RT @###### steal a nigga's bitch, don't steal a nigga's tweets."
879,21787,3,0,3,0,1,0-3-0,Tf bitch do mine
880,17809,3,0,3,0,1,0-3-0,RT @###### @###### bitch waaaaaa??
881,15894,3,1,2,0,1,1/2/2000,RT @###### Your opinion is irrelevant because you are a cunt.
882,10895,3,0,2,1,1,0-2-1,I keep seeing hoes call other hoes..hoes I be confused
883,15130,3,0,2,1,1,0-2-1,RT @###### I just wanna b a side nigga to a thick pretty faced cuffed hoe that does coke bumps garbage underground rappers n shops at p&#8230;
884,11665,3,2,1,0,0,2/1/2000,I'm seeing more &amp; more niggers migrating further up liberty rd... smh
885,8588,3,3,0,0,0,3-0-0,Can't stand that faggot.
886,14307,3,0,0,3,2,0-0-3,R&amp;B is so trash now compared to early 2000's.
887,11423,3,0,1,2,2,0-1-2,"I would went in on that ref hell, with a post game interview saying he called me sad and trash."
888,3411,3,2,1,0,0,2/1/2000,@###### legit retard
889,3859,3,3,0,0,0,3-0-0,@###### @###### is an evil hate whitey racist who thinks Delbert Belton deserved it. @###### @###### @######
890,6156,3,1,2,0,1,1/2/2000,@###### I call those my ghetto nunchucks...the reason I went 2 jail as well :(
891,5222,3,2,1,0,0,2/1/2000,@###### studies show that you're a faggot
892,24437,3,3,0,0,0,3-0-0,hope gezus gets shot in his faggot head #houston #nbombs
893,23029,3,0,2,1,1,0-2-1,Welding with your shirt off is the redneck version of tanning lol
894,9628,3,1,2,0,1,1/2/2000,Gabby is such a hoe
895,2491,3,2,1,0,0,2/1/2000,@###### can't wait for more PEDS is that it? Roid munching faggot
896,19657,3,2,1,0,0,2/1/2000,RT @###### I HATE hoe ass people.
897,5050,3,0,1,2,2,0-1-2,@###### @###### i don't think he can beat Mayweather but he's far from trash. Unlike Floyd he actually put Maidana down.
898,6510,3,0,1,2,2,0-1-2,@###### lol then they have one more flavor I think it's yellow idk.. But yea there bomb.
899,11054,3,0,2,1,1,0-2-1,I need a bad bitch thats gon treat me good
900,8566,3,0,0,3,2,0-0-3,Can't be many things worse than having COPS interrupted because a friggin Yankee game is still going on.
901,18200,3,0,1,2,2,0-1-2,RT @###### Might have a better chance if we put some trash cans out there.
902,24183,3,0,2,1,1,0-2-1,"brb, skipping out of a b-ball game with Obama to whoop @###### hoe ass."
903,21374,3,2,1,0,0,2/1/2000,So I decided to drive to the good walmart where the colored folks don't go bc it's food here.
904,13589,3,0,2,1,1,0-2-1,Nicca In my DM talkn bout follow his Instagram .. Lame nicca I now no longer follow you on twitter .. #WhereTheyDoThatAt
905,2552,3,2,1,0,0,2/1/2000,@###### I do not like talking to you faggot and I did but in a nicely way fag
906,12221,3,0,0,3,2,0-0-3,It's Karaoke night baby! Hi ho! Hi ho! It's off to sing I go! With a voice that sounds like sandpaper hi ho! Hi ho!
907,13410,3,3,0,0,0,3-0-0,My neighbors be sick when i wake um up to all this nigger music ctfu
908,20110,3,1,0,2,2,1-0-2,RT @###### In which I refresh dhimmi Seattle mayor Ed Murray's poor memory of city's long history as a jihadi breeding ground==&gt; h&#8230;
909,23590,3,0,3,0,1,0-3-0,Yasss bitch yass
910,5964,3,0,2,1,1,0-2-1,@###### she going full retard right now smh
911,23038,3,0,0,3,2,0-0-3,Well good morning early birds.. t minus 47 mins until thee clock out. Then breakfast shower rub one and sleep!
912,17070,3,2,1,0,0,2/1/2000,RT @###### You can be a good girl all you want and those hoes still gonna get us niggas attention from time to time
913,772,3,2,1,0,0,2/1/2000,#ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies
914,16007,3,1,2,0,1,1/2/2000,RT @###### Bitches be like go talk to ya other bitch bitch you is my other bitch
915,13606,3,0,3,0,1,0-3-0,Nigga Tyrese on Walking Dead is a bitch smh
916,17487,3,0,2,1,1,0-2-1,"RT @###### I love how ""twat"" is gender neutral."
917,17453,3,1,2,0,1,1/2/2000,RT @###### &#127379;kk bitch TD in 17'&#128275; Jeff b home real soon &#9981;&#127344;&#127382;
918,14119,3,0,0,3,2,0-0-3,People are so uncivilized.
919,3922,3,0,0,3,2,0-0-3,@###### I like him but I really doubt he even plays We already got a lot in the big man rotation committed to Bosh bird mcbob &amp; shawne
920,7019,3,1,0,2,2,1-0-2,@###### How day feel bout colored folk?
921,6993,3,1,0,2,2,1-0-2,@###### @###### lived there and can attest to that. Trust them over any muzzie nation by a million light years
922,8239,3,0,1,2,2,0-1-2,Big Red and fat squaw ...lol my hubby is so funny!! #insidejoke
923,5564,3,2,1,0,0,2/1/2000,@###### @###### @###### @###### shut up nigger
924,22712,3,0,3,0,1,0-3-0,Too much shit going on to deal with another bitch nonsense ....
925,9599,3,2,1,0,0,2/1/2000,"Fuckkkkk!!! My nig a g tho, he gonna come back"
926,19222,3,0,0,3,2,0-0-3,RT @###### Just eating animal crackers in sacrament! #17AndLovinIt
927,8047,3,0,3,0,1,0-3-0,As soon as bitches get on a come up you got that one bitch that CANT Wait to tell ppl your downfall before the come up &#128528;&#128528;. #Haters
928,20036,3,0,1,2,2,0-1-2,"RT @###### Luckily for my friends I'm a yellow belt in karate, which is unfortunate for the bonner dudes #lookout"
929,4157,3,3,0,0,0,3-0-0,@###### @###### @###### Anything to trash this black President!!
930,3435,3,0,2,1,1,0-2-1,@###### sal tryin 2 pull a K. Ferderline..lazy ass son of a bitch
931,15742,3,0,1,2,2,0-1-2,RT @###### Riff Raff is trash
932,7232,3,0,0,3,2,0-0-3,@###### @###### cheers dude might nip to town for #TheEditors #Vinyl ;-) #MusicMatters
933,4318,3,0,0,3,2,0-0-3,"@###### @###### When Mary asked him about it, said ""the part you eat is white-you throw the yellow away"""
934,773,3,0,3,0,1,0-3-0,"#ReasonsWhyWeDontGetAlong You're a hoe. Stop focusing on sucking dick, focus on getting rich"
935,24926,3,0,1,2,2,0-1-2,shout out to pullz cuz I kno if I was trash he would have kept it a buck... I swear he had every I made jus cuz n actually bump dem too
936,6894,3,3,0,0,0,3-0-0,@###### Oh really? fags are gross You aids infected sick fuckers
937,20479,3,0,3,0,1,0-3-0,RT @###### once at a gradeschool dance i tried to do the worm to impress this bitch and i slammed my dick on the unforgiving ceramic&#8230;
938,8010,3,0,0,3,2,0-0-3,Anyone want some absolutely amazing and deliciously fresh perfect monkey bread? &#128586;&#128584;
939,21120,3,3,0,0,0,3-0-0,Seem like da colored folk be gettin in da way lately. I just sayin
940,23978,3,2,1,0,0,2/1/2000,Your acting like a spoiled little faggot have fun
941,3908,3,0,0,3,2,0-0-3,"@###### Yankees playing tonight in the Bronx,3rd game of the current series against the diamondbacks"
942,19103,3,0,3,0,1,0-3-0,RT @###### Bitches ain't shit hoes ain't neither
943,2001,3,1,2,0,1,1/2/2000,&#8220;@###### Queen Latifah the only dyke id contemplate fucking.. Rns&#8221;wait...
944,6463,3,0,2,1,1,0-2-1,"@###### @###### @###### bitch what huh nigga am not gonna do damn thing sir this my page, oh what u forgot"
945,17574,3,1,2,0,1,1/2/2000,RT @###### I hate these Mo'ne Davis commercials. Bitch is gonna end up either a dyke or a loser like every other female.
946,7773,3,0,3,0,1,0-3-0,All DESE yung niggaz pussy
947,20063,3,0,0,3,2,0-0-3,RT @###### I've talked too much trash for OU to lose today..
948,6252,3,0,1,2,2,0-1-2,@###### you kno I love stuffed clams bai
949,2417,3,1,2,0,1,1/2/2000,@###### crusty hoe
950,12777,3,2,1,0,0,2/1/2000,Literally every man in my fam copped a bad white bitch as a wife. I ain't even boutta break da chain. Unless a latina comes around
951,21140,3,0,3,0,1,0-3-0,Sex should be a reward in a relationship. Nigga has never done anything for you whatsoever yet you still give him the pussy...smh
952,12113,3,0,0,3,2,0-0-3,Inbed eating left over poppadom. #livinthedream
953,24478,3,0,3,0,1,0-3-0,i hate ah dirty house!!! foul living bitches
954,10137,3,0,2,1,1,0-2-1,Hokis pokis bitch!
955,2405,3,0,1,2,2,0-1-2,@###### Have heard hillbilly grousings that bugs much worse in the KV since MIC shut down.
956,22014,3,0,0,3,2,0-0-3,The family of Ron O'Neal needs to sue Wu-Tang for that trash song they released in his name.
957,19148,3,0,1,2,2,0-1-2,"RT @###### (she)s bro(was)ken
bec(a)use
s(side)he
beli(hoe)ved"
958,6010,3,0,2,1,1,0-2-1,"@###### I got a kenwood amp to but it's probably ghetto, right?"
959,8369,3,0,0,3,2,0-0-3,"Bought this Lp in Manchester the other week, had no idea it was coloured vinyl. Man what a steal!!!!! #VinylGasm #Re-Machined"
960,21655,3,0,3,0,1,0-3-0,Stupid ass hoe
961,21041,3,2,1,0,0,2/1/2000,STFU BORIS FAGJO! RT @###### Cause he a faggot!! Makes sense now right?? RT @###### Bran prolly real nurturing lol
962,7194,3,2,1,0,0,2/1/2000,@###### @ me then faggot
963,5689,3,0,3,0,1,0-3-0,@###### @###### it's okay I'll get bitches on this dick anyway but thanks for the tip
964,8426,3,0,2,1,1,0-2-1,"Brooooooo that wingstop went sooooo clutch, I straight ran through that hoe!!"
965,23477,3,0,0,3,2,0-0-3,Wow redskins don't want this
966,4156,3,0,1,2,2,0-1-2,@###### @###### @###### Cant the Yankees make some last weeks moves??
967,21107,3,0,0,3,2,0-0-3,See the jumbotron? That&#8217;s where the jig is
968,11255,3,2,1,0,0,2/1/2000,I think this nigga retarded G
969,22062,3,2,1,0,0,2/1/2000,The people who have historically been called white trash were called that for a reason. They're white trash. The truth hurts.
970,20639,3,0,3,0,1,0-3-0,RT @###### Only low self esteem niggas walk around braggin about bitches he fucked! They have something to prove to ppl
971,3167,3,0,0,3,2,0-0-3,@###### should be going to free birds anyways
972,21003,3,0,0,3,2,0-0-3,Ruby is not ugly #bunga bunga
973,7844,3,0,1,2,2,0-1-2,"All these afternoon groups are trash besides the Bubba, Keegs and Furyk group #TheMemorialTournament"
974,4036,3,0,0,3,2,0-0-3,@###### @###### two birds with one stone Biggs.
975,14938,3,0,3,0,1,0-3-0,RT @###### You a hoe if your cellphone bill more than $100 a month
976,18984,3,0,1,2,2,0-1-2,RT @###### Lol I'm litetally just a walking trash can
977,11503,3,1,0,2,2,1-0-2,"I'm a redneck, but without the homophobia and racism"
978,2235,3,0,1,2,2,0-1-2,.@###### Klain's real (sole) job is to dampen down the mushrooming bad PR and political fallout heading into Nov election.
979,9563,3,2,1,0,0,2/1/2000,"Fuck you faggot ""@###### Grow up RT @###### I'm gonna be an old ass man STILL playing video games"""
980,2377,3,1,2,0,1,1/2/2000,@###### @###### stfu hoe and fucking answer me before I smack the shit outta you and your faggot aunt.
981,2495,3,3,0,0,0,3-0-0,@###### @###### homo ass crackers
982,12866,3,0,1,2,2,0-1-2,Lmfao no you didnt RT @###### @###### got cute new avi and all but she too old for colored contacts &#128073;&#128064;&#128584;
983,9075,3,0,3,0,1,0-3-0,"Don't worry bout me I got it all arranged bitch. Mind your business, stay in your lane bitch
#vote5sos
#EMABiggestFans1D"
984,9321,3,0,2,1,1,0-2-1,Fear no bitch
985,11636,3,3,0,0,0,3-0-0,"I'm not weird, you're just a faggot"
986,18256,3,1,2,0,1,1/2/2000,RT @###### Real niggas can handle anything.. including any bitch or any nigga
987,7238,3,1,2,0,1,1/2/2000,@###### shut up faggot
988,4302,3,3,0,0,0,3-0-0,@###### @###### @###### @###### @###### @###### y'all is coons n uncle toms
989,13725,3,2,0,1,0,2-0-1,No one goes into psychiatry to help people. Those people are all immoral. Everyone who works in that field is pure trash.
990,24717,3,0,3,0,1,0-3-0,might have to play the b2k tonight for my black hoes you know i still care about yal
991,21890,3,3,0,0,0,3-0-0,That shade of faggot clashes with your eye color.
992,4878,3,0,0,3,2,0-0-3,@###### She colored not Lebanese
993,12806,3,0,3,0,1,0-3-0,Lmao he left that bitch&#128514;&#128514;&#128514;&#128514;
994,18997,3,1,2,0,1,1/2/2000,"RT @###### If you let your girl get disrespected and you don't do nothing, you should of been born a bitch cuz only bitch niggas le&#8230;"
995,7549,3,0,2,1,1,0-2-1,@###### uh you're trash. &#128536;
996,22695,3,0,2,1,1,0-2-1,Tom Brady is the biggest pussy in the NFL by far
997,21987,3,0,2,1,1,0-2-1,The birds singing brings thoughts of hot flesh on this #Spring morning. #Hot #sexual desire fills my head. Let me taste you &amp; feel You.
998,1126,3,0,0,3,2,0-0-3,&#8220;@###### Wtf is flappy bird&#8221; are you kidding me
999,18383,3,0,2,1,1,0-2-1,RT @###### Jenny was a hoe til she got AIDS until she was ready to settle down with Forrest Gump who tried saving her SO many tim&#8230;
1000,7515,3,0,0,3,2,0-0-3,@###### it didnt open das y i asked cus i thought yu ate wat i had Pork chops yellow rice n beans
1001,14601,3,0,1,2,2,0-1-2,"RT @###### Whatchu sayin hoe, YOU KNOW IM THE MAN HOE"
1002,16019,3,3,0,0,0,3-0-0,RT @###### Yay for America &amp; Israel... we put in more Jew Hating muslim trash into our government! pathetic &amp; sickening
1003,12900,3,2,1,0,0,2/1/2000,Lol RT @###### Youuuuu got niggas but I don't got bitches
1004,1851,3,2,1,0,0,2/1/2000,&#8220;@###### I hate that bitch &amp; the fact that oomf likes her.. just no &#128528;&#8221; retweeettt 1000x.
1005,13861,3,0,1,2,2,0-1-2,Offensive line is trash
1006,20947,3,0,0,3,2,0-0-3,Really tempted to let out the redneck side of my drink a lot of beer and sing some country karaoke..
1007,5854,3,0,1,2,2,0-1-2,@###### trash
1008,18700,3,1,2,0,1,1/2/2000,"RT @###### ""Young N****s act hard and all the bad B*****s grew up to be trash broads"" -@######"
1009,422,3,1,2,0,1,1/2/2000,"""@###### YASSSSSS, ORDERED CHINESE &#128079;"" bitch you just ate tacos you fat fuck"
1010,7376,3,0,2,1,1,0-2-1,@###### sexy bitch
1011,22009,3,0,0,3,2,0-0-3,The early bird takes a nap before noon.
1012,20167,3,2,1,0,0,2/1/2000,RT @###### Whore slut cunt bitch nigga
1013,613,3,2,1,0,0,2/1/2000,"""You ain't gunna do shit spear chucker"""
1014,6564,3,0,3,0,1,0-3-0,@###### bring it bitch.
1015,12288,3,2,1,0,0,2/1/2000,It's this dyke chick cut hair in the barbershop look just like Future
1016,22986,3,1,0,2,2,1-0-2,We can't call somebody wack we got Raymond Felton RT @###### Lin so trash.
1017,4986,3,0,2,1,1,0-2-1,@###### But a wannabe ghetto white girl will deal with an unaccomplished black man for more than sex.
1018,90,3,3,0,0,0,3-0-0,"""@###### @###### alsarabsss"" hes a beaner smh you can tell hes a mexican"
1019,12587,3,0,3,0,1,0-3-0,LMAO. Twitter little bitch ass site . I need to start using this hoe more.
1020,10457,3,3,0,0,0,3-0-0,I do da flow in a temple today fo nuttin. And dat Jew wit the funky hair tell me I subhuman. He tell me I ain't no mo human den a monkey
1021,13650,3,0,2,1,1,0-2-1,Niggas be so dehydrated if I wanted my pussy ate everyday for the rest of this year it would happen
1022,20333,3,1,2,0,1,1/2/2000,RT @###### shoutout to @###### bitch you guessed it remix shit is &#128293;&#128293;&#128293;
1023,22378,3,1,2,0,1,1/2/2000,"This ""Deb"" women at my eye appointment.. bitch"
1024,24985,3,0,1,2,2,0-1-2,stupid teacher talks to @###### like he's retarded
1025,11807,3,0,3,0,1,0-3-0,"If I've never seen her do some ""hoe"" shit with my own eyes then I refuse to let another nigga influence my thoughts on her. So what?"
1026,19780,3,2,1,0,0,2/1/2000,"RT @###### ""@###### hey dicklicker! it says im happily divorced not bitter! homophobic? im not scared of queers..i hate em! fudg&#8230;"
1027,14662,3,1,2,0,1,1/2/2000,RT @###### lol Lebron bitch ass always making a spectacle look at me ass nigga
1028,17862,3,0,3,0,1,0-3-0,"RT @###### Come 2 Henderson, kilgore, Longview IT DONT EVEN MATTER. But you dumb ass hoes gone fuck around &amp;get your soul taken fro&#8230;"
1029,1578,3,0,0,3,2,0-0-3,"&#8220;@###### I find myself wanting to google ""the yellow king"" #TrueDetective&#8221; No kidding! What is going on?"
1030,24271,3,0,3,0,1,0-3-0,donkey son of a bitch mother fucker
1031,5856,3,0,0,3,2,0-0-3,@###### those were bumblebees....
1032,11607,3,0,2,1,1,0-2-1,I'm like Rashad and I did her like when he found out the ghetto truth about New-New
1033,597,3,2,1,0,0,2/1/2000,"""Who the fuck you callin jiggaboo, nigga?!"""
1034,16276,3,1,2,0,1,1/2/2000,RT @###### dont no nigga want a broke bitch &#128544;&#128079;&#128514;&#9996;
1035,2051,3,0,0,3,2,0-0-3,&lt;-- nudes are trash
1036,21456,3,0,2,1,1,0-2-1,"Social media post about rival social media app. I shall never let the word ""edited"" appear next to my Facebook status. Double read it bitch."
1037,19765,3,1,2,0,1,1/2/2000,"RT @###### Cheating ain't no accident hoe! fallin off a bike is a accident! 
I ain't never seen a bitch trip &amp; land on no dick!"
1038,24957,3,0,3,0,1,0-3-0,some prude bitch unfollwed me show me ur ugly face
1039,1496,3,0,3,0,1,0-3-0,"&#8220;@###### It's like when a bitch gotta pretty pussy but it's loose .&#8221;
#witchcraft"
1040,19820,3,0,1,2,2,0-1-2,RT @###### I drink unicorn tears... RT @###### @###### And they say blondes don't age well :) You look like you're 20 :) ho&#8230;
1041,13276,3,0,1,2,2,0-1-2,My baby guinea pig is so cute #Adorable
1042,6091,3,1,0,2,2,1-0-2,@###### sounds like gypos to me - they used to do this all the time where I lived
1043,8695,3,2,1,0,0,2/1/2000,Chicks love these ugly hipster faggots. Prolly cause they look like the dad that was never in their life.
1044,13349,3,0,2,1,1,0-2-1,My dumbass has a redskins mcnab jersey
1045,6920,3,2,1,0,0,2/1/2000,@###### no you ignorant cement headed hillbilly. You said taxing. Cant you fuckin read you fucking knob gobbling douchebag
1046,5158,3,0,2,1,1,0-2-1,@###### I glads dis colored man cans be of soyvice fo da white man
1047,10929,3,0,0,3,2,0-0-3,I learnt about birds as a child. Best time to learn @######
1048,23444,3,0,2,1,1,0-2-1,Woman have staring problems just as much as men..Talking all this mumbo jumbo about men..I just give them retarded faces or ignore them..
1049,6269,3,3,0,0,0,3-0-0,@###### do i have to repeat myself u white trash
1050,5835,3,1,2,0,1,1/2/2000,"@###### @###### ""..the nig..""? ok, you're the big time shit talker on twitter no name, no face, no info"
1051,24341,3,1,2,0,1,1/2/2000,fuk you u stupid twat fuk upd dik suker and wipe that cum off ur lip
1052,21593,3,0,3,0,1,0-3-0,Stafford you pussy
1053,10292,3,0,1,2,2,0-1-2,I am extremely sad to have to admit that some of the best 21st century Arabic rhymes have been written by Jihadis
1054,16597,3,3,0,0,0,3-0-0,RT @###### @###### typical coon activity
1055,15047,3,1,0,2,2,1-0-2,RT @###### To call Martin baker an Uncle Tom and uppity because he's not siding with the majority pure ignorance....
1056,17163,3,1,2,0,1,1/2/2000,RT @###### Lmaoooo RT @###### @###### fam I stabbed a person once in COD ghost and he said I stab like a nigger
1057,7119,3,0,1,2,2,0-1-2,"@###### yeah,but the cripple not getting up clean helped the call out...wouldn't have been fair either way"
1058,11874,3,0,0,3,2,0-0-3,"If the @###### get Dempster, they just look like they're getting older. #smh Bring some youth!!! #mlb"
1059,23407,3,0,0,3,2,0-0-3,Will be interesting to watch how Interlagos grips in this weekend. F1 cars basically the guinea pigs for WEC later this month.
1060,4116,3,0,2,1,1,0-2-1,@###### @###### @###### nvm thought we were talking fifa sorry matt you're not trash at zombies
